station_name,station_code,lat,lon,name,code_str,nameEng
БАЙРОНОВКА,92040,55.7929039,98.18618011,Байроновка,920407,Bajronovka
БАЙТУК,81590,52.08283997,60.03192902,Байтук,815906,Bajtuk
БАЙЧУРОВО,60510,51.34342575,42.68407059,Байчурово,605103,Bajchurovo
БАКАНСКАЯ,52150,44.86942673,37.86140823,Баканская,521503,Bakanskaya
БАЛАБАНОВО,18360,55.17889404,36.66242981,Балабаново,183606,Balabanovo
БАЛАКИРЕВО,31330,56.50754547,38.8502388,Балакирево,313304,Balakirevo
БАЛАКОВО,62510,52.00277328,47.78843689,Балаково,625107,Balakovo
БАЛАНДИНО,80190,55.2977066,61.5490799,Баландино,801903,Balandino
БАЛАШЕЙКА,64310,53.28352356,48.09122849,Балашейка,643105,Balashejka
БАЛАШОВ 1,60530,51.5350647,43.15999985,Балашов I,605300,Balashov I
БАЛАШОВ-ПАС,60540,51.54540634,43.12805557,Балашов-Пассажирский,605404,Balashov-Passazhirskij
БАЛЕЗИНО,27580,57.97437286,53.00515747,Балезино,275808,Balezino
